3 20 1
0.496 0.066 0.586 0.325
0.928 0.249 0.635 0.660
0.827 0.910 0.715 0.931
0.217 0.040 0.553 0.276
0.602 0.668 0.265 0.733
0.044 0.536 0.274 0.817
0.378 0.272 0.711 0.005
0.024 0.541 0.861 0.888
0.009 0.001 0.880 0.662
0.927 0.780 0.714 0.502
0.038 0.427 0.040 0.799
0.141 0.980 0.760 0.144
1.000 0.149 0.478 0.020
0.541 0.439 0.588 0.983
0.241 0.989 0.572 0.065
0.925 0.747 0.582 0.372
0.996 0.846 0.633 0.231
0.999 0.519 0.775 0.054
0.932 0.381 0.102 0.982
0.489 0.525 0.995 0.918
0.158 0.353 0.731 0.011 0.763 0.292 0.105 0.245 0.942 0.577 0.832 0.804 0.951 0.315 0.082 0.318 0.846 0.404 0.255 0.361 0.443
